PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P70;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5222S1;P5222S2;P5222S3;P5222S4;P5222S5;P5222S6;P5222S7;P5222S8;P5222S9;P5222S10;P5222S8A1;P6008
20231040;10;2023;7567346;1;1;01;05;1;1265.3283452;05;2;1;4;1;3;1;1;1;2;1;1;3;3;1;1;1;1;1;3;2;;400000;130000000;1000000;;;;;;;;;;1;;;3
20231040;10;2023;7567347;1;1;01;05;1;1380.0395725;05;2;1;4;1;5;1;1;1;2;1;1;3;1;1;1;1;1;1;3;3;;;;;2000000;;1;;;;;;;;;;2
20231040;10;2023;7567348;1;1;01;05;1;1955.6433747;05;2;1;3;1;2;1;1;1;2;1;1;4;3;1;1;1;1;1;3;3;;;;;350000;;1;;;;;;;;;;3
20231040;10;2023;7567349;1;1;01;05;1;1930.9555452;05;2;1;4;1;2;1;1;1;2;1;1;3;1;1;1;1;1;1;3;3;;;;;600000;;1;;;;;;;;;;2
20231040;10;2023;7567350;1;1;01;05;1;1114.5524608;05;2;1;4;1;3;1;1;1;3;1;1;4;3;1;1;1;1;1;3;1;;;250000000;800000;;;1;;;;;;;;;;4
20231040;10;2023;7567351;1;1;01;05;1;1416.1042297;05;2;1;4;1;3;1;1;1;3;1;1;4;2;1;1;1;1;1;3;3;;;;;400000;;1;;;;;;;;;;2
20231040;10;2023;7567352;1;1;01;05;1;1156.3406295;05;2;1;4;1;3;1;1;1;3;1;1;4;2;1;1;1;1;1;3;4;;;;1000000;;;1;;;;;;;;;;2
20231040;10;2023;7567353;1;1;01;05;1;1566.8039551;05;2;1;4;1;5;1;1;1;2;1;1;3;2;1;1;1;1;1;3;3;;;;;1400000;;1;;;;;;;;;;2
20231040;10;2023;7567354;1;1;01;05;1;1138.7955107;05;2;1;4;1;1;1;1;1;2;1;1;3;2;1;1;1;1;1;3;1;;;98;750000;;;;;;;;;;1;;;3
20231040;10;2023;7567355;1;1;01;05;1;1408.0883567;05;2;1;4;1;5;1;1;1;2;1;1;3;2;1;1;1;1;1;3;1;;;350000000;1800000;;;1;;;;;;;;;;3
20231040;10;2023;7567356;1;1;01;05;1;1404.1208415;05;2;1;4;1;5;1;1;1;2;1;1;4;3;1;1;1;1;1;3;3;;;;;1800000;;1;;;;;;;;;;5
20231040;10;2023;7567357;1;1;01;05;1;1629.8407961;05;2;1;4;1;5;1;1;1;2;1;1;4;1;1;1;1;1;1;3;3;;;;;1550000;;1;;1;;;1;;;;;1
20231040;10;2023;7567358;1;1;01;05;1;1193.9180471;05;2;1;2;1;1;1;1;1;2;1;1;2;2;1;1;1;1;1;3;3;;;;;450000;;;;;;;;;1;;;4
20231040;10;2023;7567359;1;1;01;05;1;1212.4673306;05;2;1;4;1;3;1;1;1;3;1;1;3;2;1;1;1;1;1;3;3;;;;;525000;;1;;;;;;;;;;2
