PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSCY;DSI;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4;P7440
20231148;11;2023;7595824;1;1;1;70;;2;503.0259049;68;1;;;;;;;;;1;120;5;5;1;5;2;3;;2;;.;4120;69;6910;
20231148;11;2023;7595824;1;2;1;70;;2;503.0259049;68;1;;;;;;;;;1;56;5;5;1;6;2;3;;2;;.;8323;49;4923;
20231148;11;2023;7595825;1;1;1;70;;2;532.60729148;68;1;;;;;;;;;1;48;0;9;5;4;2;2;;2;;.;2142;42;4210;
20231148;11;2023;7595825;1;2;1;70;;2;532.60729148;68;1;;;;;;;;;1;96;0;5;4;1;2;3;;2;;.;2512;62;6201;
20231148;11;2023;7595826;1;1;1;70;;2;889.04651416;68;1;;;;;;;;;1;10;0;5;1;6;2;3;;2;;.;3322;45;4530;
20231148;11;2023;7595826;1;3;1;70;;2;889.04651416;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20231148;11;2023;7595826;1;5;1;70;;2;889.04651416;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20231148;11;2023;7595828;1;2;1;70;;2;532.60729148;68;1;;;;;;;;;1;48;5;3;3;1;2;2;;2;;.;9111;97;9700;
20231148;11;2023;7595829;1;2;1;70;;2;1765.1403719;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20231148;11;2023;7595830;1;2;1;70;;2;503.0259049;68;1;;;;;;;;;1;48;0;7;4;1;2;1;1;2;;.;5223;47;4769;
20231148;11;2023;7595832;1;2;1;70;;2;503.0259049;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20231145;11;2023;7595834;1;2;1;70;05;1;1400.9707909;05;1;;;;;;;;;1;6;0;3;1;10;2;1;1;2;;.;2166;47;4792;
20231145;11;2023;7595834;1;3;1;70;05;1;1400.9707909;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20231145;11;2023;7595835;1;2;1;70;05;1;1449.3582536;05;1;;;;;;;;;1;120;0;3;1;5;2;2;;2;;.;5223;20;2023;
20231145;11;2023;7595835;1;3;1;70;05;1;1449.3582536;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20231145;11;2023;7595836;1;2;1;70;05;1;1651.0978156;05;1;;;;;;;;;1;14;0;3;4;1;2;2;;2;;.;8323;49;4921;
20231145;11;2023;7595837;1;2;1;70;05;1;1443.8918681;05;1;;;;;;;;;1;156;0;5;2;10;2;2;;2;;.;2330;85;8530;
