DIRECTORIO;ZONA_TERRITORIAL;FACTOR_EXPANSION;DPTO;SEXO;EDAD;PARENTESCO_JEFE_DE_HOGAR;MADRE_RESIDE_HOGAR;PADRE_RESIDE_HOGAR;SE_CONSIDERA_CAMPESINO;COMUNIDAD_ES_CAMPESINA;ETNIA;ESTADO_CIVIL;AFILIADO_SALUD;LEER_ESCRIBIR;ACTUALMENTE_ESTUDIA;MAYOR_NIVEL_EDUCATIVO;ORIENTACION_SEXUAL;GENERO;ACTIVIDAD_OCUPADA_ULTIMA_SEMANA;TIPO_VIVIENDA;SERVICIOS_ENERGIA_ELECTRICA;ESTRATO_ENERGIA_ELECTRICA;SERVICIOS_GAS_NATURAL;SERVICIOS_ALCANTARILLADO;SERVICIOS_RECOLECCION_BASURAS;SERVICIOS_ACUEDUCTO;NUMERO_HOGARES_VIVIENDA;NUMERO_CUARTOS_VIVIENDA;NUMERO_CUARTOS_DORMIR;TIPO_SANITARIO;COMO_ELIMINA_BASURA;DONDE_OBTIENE_AGUA;DONDE_PREPARA_ALIMENTOS;TIPO_OCUPACION_VIVIENDA;HOGAR_TIENE_CUENTA_CORRIENTE;HOGAR_TIENE_CUENTA_AHORROS;HOGAR_TIENE_CDT;HOGAR_TIENE_PRESTAMO_COMPRA_VIVIENDA;HOGAR_TIENE_PRESTAMO_COMPRA_VEHICULO;HOGAR_TIENE_PRESTAMO_LIBRE_INVERSION;HOGAR_TIENE_TARJETA_CREDITO;NUMERO_PERSONAS_HOGAR;DISCAPACIDAD
7309060;Cabecera;1580.6772728;CUNDINAMARCA;Masculino;27;Pareja, esposo(a), conyuge, companero(a);No;No;Si;Si;Ninguno de los anteriores;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Si;Si;No;Universitaria;Mujeres;Hombre;1.0;Casa;Si;Bajo;No;Si;Si;Si;1;3;2;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En arriendo o subarriendo;No;Si;No;No;No;No;No;3;Sin discapacidad
7309064;Resto;324.59826195;RISALRALDA;Masculino;18;Hijo(a), hijastro(a);Si;No;Si;Si;Ninguno de los anteriores;Esta soltero (a);Si;Si;No;Media academica (Bachillerato clasico);Mujeres;Hombre;1.0;Casa;Si;Bajo - Bajo;Si;No;Si;Si;1;4;3;Inodoro conectado a pozo septico;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En arriendo o subarriendo;No;Si;No;No;No;No;No;5;Sin discapacidad
7309067;Resto;167.45736593;RISALRALDA;Femenino;25;Hijo(a), hijastro(a);No;Si;Si;Si;Ninguno de los anteriores;Esta soltero (a);Si;Si;Si;Tecnica profesional;Hombres;Mujer;0.0;Apartamento;Si;Bajo - Bajo;Si;No;Si;Si;1;3;2;Inodoro conectado a pozo septico;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;Propia, totalmente pagada;No;Si;No;No;No;No;No;2;Sin discapacidad
7309073;Resto;202.1895362;RISALRALDA;Femenino;27;Hijo(a), hijastro(a);Si;No;Si;Si;Ninguno de los anteriores;Esta soltero (a);No;Si;No;Universitaria;Hombres;Mujer;0.0;Apartamento;Si;Bajo - Bajo;Si;No;Si;Si;1;3;2;Inodoro conectado a pozo septico;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En usufructo;No;Si;No;No;No;No;No;6;Sin discapacidad
7309073;Resto;202.1895362;RISALRALDA;Femenino;23;Hijo(a), hijastro(a);Si;No;Si;Si;Ninguno de los anteriores;Esta soltero (a);No;Si;No;Media academica (Bachillerato clasico);Hombres;Mujer;1.0;Apartamento;Si;Bajo - Bajo;Si;No;Si;Si;1;3;2;Inodoro conectado a pozo septico;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En usufructo;No;Si;No;No;No;No;No;6;Sin discapacidad
7309075;Resto;137.97422227;RISALRALDA;Masculino;24;Hijo(a), hijastro(a);Si;Si;Si;Si;Ninguno de los anteriores;Esta soltero (a);Si;Si;No;Media academica (Bachillerato clasico);Mujeres;Hombre;1.0;Casa;Si;Bajo - Bajo;No;No;No;Si;1;2;1;Inodoro conectado a pozo septico;La queman o entierran;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En usufructo;No;Si;No;No;No;No;No;3;Sin discapacidad
7309081;Resto;126.64232563;RISALRALDA;Femenino;28;Jefe (a) del hogar;No;Fallecido;Si;Si;Ninguno de los anteriores;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Si;Si;Si;Universitaria;Hombres;Mujer;1.0;Casa;Si;Bajo - Bajo;No;No;No;Si;1;2;2;Inodoro sin conexion;La queman o entierran;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En usufructo;No;Si;No;No;No;No;No;3;Discapacidad leve
7309082;Resto;119.34815465;RISALRALDA;Femenino;26;Jefe (a) del hogar;Si;Fallecido;Si;Si;Ninguno de los anteriores;Esta separado (a) o divorciado (a);Si;Si;No;Media academica (Bachillerato clasico);Hombres;Mujer;1.0;Casa;Si;Bajo - Bajo;No;No;No;Si;1;4;3;Inodoro conectado a pozo septico;La queman o entierran;De acueducto por tuberia;En un cuarto usado solo para cocinar?;Propia, totalmente pagada;No;Si;No;No;No;No;No;6;Sin discapacidad
7309082;Resto;119.34815465;RISALRALDA;Masculino;20;Otro pariente;No;No;Si;Si;Ninguno de los anteriores;Esta soltero (a);Si;Si;No;Media academica (Bachillerato clasico);Mujeres;Hombre;1.0;Casa;Si;Bajo - Bajo;No;No;No;Si;1;4;3;Inodoro conectado a pozo septico;La queman o entierran;De acueducto por tuberia;En un cuarto usado solo para cocinar?;Propia, totalmente pagada;No;Si;No;No;No;No;No;6;Sin discapacidad
7309088;Resto;461.36523394;RISALRALDA;Masculino;21;Hijo(a), hijastro(a);Si;No;Si;Si;Negro, mulato (afrodescendiente);Esta soltero (a);Si;Si;No;Basica secundaria (6o - 9o);Mujeres;Hombre;1.0;Casa;Si;Bajo - Bajo;Si;No;Si;Si;1;3;1;Bajamar;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;Propia, totalmente pagada;No;Si;No;No;No;No;No;2;Sin discapacidad
