EDAD;NUMERO_CUARTOS_VIVIENDA;NUMERO_CUARTOS_DORMIR;NUMERO_PERSONAS_HOGAR;TIPO_OCUPACION_VIVIENDA;ETNIA;GENERO;ESTADO_CIVIL;ORIENTACION_SEXUAL;ESTRATO_ENERGIA_ELECTRICA;MAYOR_NIVEL_EDUCATIVO;MADRE_RESIDE_HOGAR;PARENTESCO_JEFE_DE_HOGAR;SEXO;DPTO;FACTOR_EXPANSION;ACTIVIDAD_OCUPADA_ULTIMA_SEMANA
27;3;2;3;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Mujeres;Bajo;Universitaria;No;Pareja, esposo(a), conyuge, companero(a);Masculino;CUNDINAMARCA;1580.6772728;1
18;4;3;5;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;RISALRALDA;324.59826195;1
25;3;2;2;Propia, totalmente pagada;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo - Bajo;Tecnica profesional;No;Hijo(a), hijastro(a);Femenino;RISALRALDA;167.45736593;0
27;3;2;6;En usufructo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo - Bajo;Universitaria;Si;Hijo(a), hijastro(a);Femenino;RISALRALDA;202.1895362;0
23;3;2;6;En usufructo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo - Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Femenino;RISALRALDA;202.1895362;1
24;2;1;3;En usufructo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;RISALRALDA;137.97422227;1
28;2;2;3;En usufructo;Ninguno de los anteriores;Mujer;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Hombres;Bajo - Bajo;Universitaria;No;Jefe (a) del hogar;Femenino;RISALRALDA;126.64232563;1
26;4;3;6;Propia, totalmente pagada;Ninguno de los anteriores;Mujer;Esta separado (a) o divorciado (a);Hombres;Bajo - Bajo;Media academica (Bachillerato clasico);Si;Jefe (a) del hogar;Femenino;RISALRALDA;119.34815465;1
20;4;3;6;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Media academica (Bachillerato clasico);No;Otro pariente;Masculino;RISALRALDA;119.34815465;1
21;3;1;2;Propia, totalmente pagada;Negro, mulato (afrodescendiente);Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Basica secundaria (6o - 9o);Si;Hijo(a), hijastro(a);Masculino;RISALRALDA;461.36523394;1
20;1;1;2;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Mujeres;Bajo;Media academica (Bachillerato clasico);No;Jefe (a) del hogar;Masculino;RISALRALDA;504.49388863;1
20;1;1;2;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Hombres;Bajo;Media academica (Bachillerato clasico);No;Pareja, esposo(a), conyuge, companero(a);Femenino;RISALRALDA;504.49388863;1
23;3;2;5;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;RISALRALDA;1067.6513753;1
18;3;1;2;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Mujeres;Bajo;Media tecnica (Bachillerato tecnico);No;Jefe (a) del hogar;Masculino;RISALRALDA;630.61736079;1
19;3;1;2;En arriendo o subarriendo;Negro, mulato (afrodescendiente);Mujer;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Hombres;Bajo;Media tecnica (Bachillerato tecnico);No;Pareja, esposo(a), conyuge, companero(a);Femenino;RISALRALDA;630.61736079;0
22;2;1;3;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Mujeres;Bajo - Bajo;Media tecnica (Bachillerato tecnico);No;Jefe (a) del hogar;Masculino;RISALRALDA;718.79648487;1
26;2;1;3;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Hombres;Bajo - Bajo;Media tecnica (Bachillerato tecnico);Fallecida;Pareja, esposo(a), conyuge, companero(a);Femenino;RISALRALDA;718.79648487;1
24;4;2;2;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;RISALRALDA;640.46600286;1
20;3;3;3;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo;Media tecnica (Bachillerato tecnico);Si;Hijo(a), hijastro(a);Femenino;RISALRALDA;420.69553827;1
25;4;3;5;En usufructo;Ninguno de los anteriores;Hombre;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Mujeres;Bajo - Bajo;Basica secundaria (6o - 9o);No;Pareja, esposo(a), conyuge, companero(a);Masculino;ANTIOQUIA;396.94082149;1
26;4;3;5;En usufructo;Ninguno de los anteriores;Mujer;Esta separado (a) o divorciado (a);Hombres;Bajo - Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Femenino;ANTIOQUIA;396.94082149;1
20;4;3;5;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Tecnologica ;Si;Otro pariente;Masculino;ANTIOQUIA;943.89120798;1
26;4;3;3;En usufructo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo - Bajo;Tecnologica ;Si;Hijo(a), hijastro(a);Femenino;ANTIOQUIA;398.44083937;1
18;4;3;3;En usufructo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Basica secundaria (6o - 9o);Si;Hijo(a), hijastro(a);Masculino;ANTIOQUIA;398.44083937;1
