"EDAD","ZONA_TERRITORIAL","DPTO","PARENTESCO_JEFE_DE_HOGAR","MADRE_RESIDE_HOGAR","PADRE_RESIDE_HOGAR","SE_CONSIDERA_CAMPESINO","COMUNIDAD_ES_CAMPESINA","ETNIA","ESTADO_CIVIL","AFILIADO_SALUD","LEER_ESCRIBIR","ACTUALMENTE_ESTUDIA","MAYOR_NIVEL_EDUCATIVO","TIPO_VIVIENDA","ESTRATO_ENERGIA_ELECTRICA","SERVICIOS_GAS_NATURAL","SERVICIOS_ALCANTARILLADO","SERVICIOS_RECOLECCION_BASURAS","SERVICIOS_ACUEDUCTO","TIPO_SANITARIO","COMO_ELIMINA_BASURA","DONDE_OBTIENE_AGUA","DONDE_PREPARA_ALIMENTOS","TIPO_OCUPACION_VIVIENDA","HOGAR_TIENE_TARJETA_CREDITO","DISCAPACIDAD","ACTIVIDAD_OCUPADA_ULTIMA_SEMANA","FACTOR_EXPANSION"
27,"Cabecera","CUNDINAMARCA","Pareja, esposo(a), conyuge, companero(a)","No","No","Si","Si","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Universitaria","Casa","Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",1580.6772728
18,"Resto","RISALRALDA","Hijo(a), hijastro(a)","Si","No","Si","Si","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Casa","Bajo - Bajo","Si","No","Si","Si","Inodoro conectado a pozo septico","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",324.59826195
25,"Resto","RISALRALDA","Hijo(a), hijastro(a)","No","Si","Si","Si","Ninguno de los anteriores","Esta soltero (a)","Si","Si","Si","Tecnica profesional","Apartamento","Bajo - Bajo","Si","No","Si","Si","Inodoro conectado a pozo septico","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","0",167.45736593
27,"Resto","RISALRALDA","Hijo(a), hijastro(a)","Si","No","Si","Si","Ninguno de los anteriores","Esta soltero (a)","No","Si","No","Universitaria","Apartamento","Bajo - Bajo","Si","No","Si","Si","Inodoro conectado a pozo septico","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En usufructo","No","Sin discapacidad","0",202.1895362
23,"Resto","RISALRALDA","Hijo(a), hijastro(a)","Si","No","Si","Si","Ninguno de los anteriores","Esta soltero (a)","No","Si","No","Media academica (Bachillerato clasico)","Apartamento","Bajo - Bajo","Si","No","Si","Si","Inodoro conectado a pozo septico","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En usufructo","No","Sin discapacidad","1",202.1895362
24,"Resto","RISALRALDA","Hijo(a), hijastro(a)","Si","Si","Si","Si","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Casa","Bajo - Bajo","No","No","No","Si","Inodoro conectado a pozo septico","La queman o entierran","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En usufructo","No","Sin discapacidad","1",137.97422227
28,"Resto","RISALRALDA","Jefe (a) del hogar","No","Fallecido","Si","Si","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","Si","Universitaria","Casa","Bajo - Bajo","No","No","No","Si","Inodoro sin conexion","La queman o entierran","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En usufructo","No","Discapacidad leve","1",126.64232563
26,"Resto","RISALRALDA","Jefe (a) del hogar","Si","Fallecido","Si","Si","Ninguno de los anteriores","Esta separado (a) o divorciado (a)","Si","Si","No","Media academica (Bachillerato clasico)","Casa","Bajo - Bajo","No","No","No","Si","Inodoro conectado a pozo septico","La queman o entierran","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","1",119.34815465
20,"Resto","RISALRALDA","Otro pariente","No","No","Si","Si","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Casa","Bajo - Bajo","No","No","No","Si","Inodoro conectado a pozo septico","La queman o entierran","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","1",119.34815465
21,"Resto","RISALRALDA","Hijo(a), hijastro(a)","Si","No","Si","Si","Negro, mulato (afrodescendiente)","Esta soltero (a)","Si","Si","No","Basica secundaria (6o - 9o)","Casa","Bajo - Bajo","Si","No","Si","Si","Otro","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","1",461.36523394
20,"Resto","RISALRALDA","Jefe (a) del hogar","No","No","Si","Si","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Media academica (Bachillerato clasico)","Casa","Bajo","Si","No","Si","Si","Otro","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","Si","Sin discapacidad","1",504.49388863
20,"Resto","RISALRALDA","Pareja, esposo(a), conyuge, companero(a)","No","Fallecido","Si","Si","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Media academica (Bachillerato clasico)","Casa","Bajo","Si","No","Si","Si","Otro","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","Si","Sin discapacidad","1",504.49388863
23,"Resto","RISALRALDA","Hijo(a), hijastro(a)","Si","No","Si","Si","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Apartamento","Bajo - Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",1067.6513753
18,"Resto","RISALRALDA","Jefe (a) del hogar","No","No","No","Si","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Media tecnica (Bachillerato tecnico)","Apartamento","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",630.61736079
19,"Resto","RISALRALDA","Pareja, esposo(a), conyuge, companero(a)","No","No","No","Si","Negro, mulato (afrodescendiente)","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Media tecnica (Bachillerato tecnico)","Apartamento","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","0",630.61736079
22,"Resto","RISALRALDA","Jefe (a) del hogar","No","Fallecido","Si","Si","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Media tecnica (Bachillerato tecnico)","Apartamento","Bajo - Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",718.79648487
26,"Resto","RISALRALDA","Pareja, esposo(a), conyuge, companero(a)","Fallecida","Fallecido","Si","No","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Media tecnica (Bachillerato tecnico)","Apartamento","Bajo - Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",718.79648487
24,"Resto","RISALRALDA","Hijo(a), hijastro(a)","Si","No","Si","Si","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Casa","Bajo","No","No","Si","Si","Inodoro conectado a pozo septico","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","1",640.46600286
20,"Resto","RISALRALDA","Hijo(a), hijastro(a)","Si","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media tecnica (Bachillerato tecnico)","Casa","Bajo","No","No","Si","Si","Inodoro conectado a pozo septico","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",420.69553827
25,"Resto","ANTIOQUIA","Pareja, esposo(a), conyuge, companero(a)","No","No","Si","Si","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","No","Si","No","Basica secundaria (6o - 9o)","Casa","Bajo - Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En usufructo","No","Sin discapacidad","1",396.94082149
